,Class,B,G,R,H,S,V,L,A,B
0,2,169,198,134,76,82,198,191,101,136
1,3,246,115,132,124,136,246,143,167,64
2,1,138,125,197,175,93,197,154,158,133
3,4,173,189,201,17,36,201,197,130,138
4,2,172,201,135,77,84,201,194,101,136
5,2,171,200,132,77,87,200,193,100,136
6,0,142,127,130,126,27,142,138,132,120
7,0,141,126,129,126,27,141,137,132,120
8,4,169,204,200,33,44,204,207,121,145
9,1,110,121,209,3,121,209,154,161,149
10,3,248,115,105,118,147,248,138,162,60
11,1,109,122,210,4,123,210,155,161,150
12,3,246,112,103,118,148,246,135,163,60
13,1,109,120,210,3,123,210,153,162,149
14,3,250,109,100,118,153,250,134,166,56
15,1,112,125,206,4,116,206,155,158,148
16,3,248,110,102,118,150,248,134,165,58
17,1,107,118,210,3,125,210,152,163,150
18,3,246,112,103,118,148,246,135,163,60
19,3,250,109,98,118,155,250,134,165,56
20,4,167,199,197,32,41,199,202,122,144
21,2,145,182,113,74,97,182,176,98,140
22,0,139,113,115,122,48,139,124,135,114
23,2,143,178,113,74,93,178,172,99,139
24,0,138,113,115,122,46,138,124,134,115
25,2,148,177,117,76,86,177,172,102,137
26,0,141,116,118,122,45,141,127,134,115
27,2,151,181,119,75,87,181,176,101,137
28,0,140,114,116,122,47,140,125,134,114
29,4,135,156,173,17,56,173,167,131,141
30,0,140,114,116,122,47,140,125,134,114
31,4,134,151,165,16,48,165,161,130,139
32,0,141,115,117,122,47,141,126,134,114
33,4,134,156,171,18,55,171,166,130,142
34,0,141,115,117,122,47,141,126,134,114
35,4,136,160,177,18,59,177,170,130,143
36,0,140,114,116,122,47,140,125,134,114
37,4,134,154,170,17,54,170,165,131,141
38,0,141,115,117,122,47,141,126,134,114
39,4,134,156,173,17,57,173,167,131,142
40,4,133,158,174,18,60,174,168,130,143
41,4,129,150,164,18,54,164,160,130,141
42,4,136,154,168,17,49,168,164,130,139
43,4,135,154,169,17,51,169,164,130,140
44,4,129,159,174,20,66,174,168,129,146
45,4,134,159,175,18,60,175,169,130,143
46,4,132,154,171,17,58,171,165,131,142
